Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Forefoot_Left,0,0.58,0.63,0.6,212,0.6273584905660378
Pain_Forefoot_Left,1,0.43,0.38,0.4,154,0.38311688311688313
Pain_Forefoot_Right,0,0.64,0.42,0.51,215,0.4232558139534884
Pain_Forefoot_Right,1,0.44,0.66,0.53,151,0.6556291390728477
Pain_Midfoot_Left,0,0.68,0.36,0.47,248,0.3588709677419355
Pain_Midfoot_Left,1,0.33,0.65,0.44,118,0.652542372881356
Pain_Midfoot_Right,0,0.69,0.99,0.81,253,0.9920948616600791
Pain_Midfoot_Right,1,0.0,0.0,0.0,113,0.0
Pain_Heel_Left,0,0.84,0.49,0.62,287,0.4878048780487805
Pain_Heel_Left,1,0.27,0.67,0.38,79,0.6708860759493671
Pain_Heel_Right,0,0.79,0.52,0.63,287,0.519163763066202
Pain_Heel_Right,1,0.22,0.49,0.3,79,0.4936708860759494
Pain_Forehead,0,0.93,0.74,0.82,335,0.7402985074626866
Pain_Forehead,1,0.11,0.35,0.17,31,0.3548387096774194
Pain_Crown,0,0.95,0.71,0.81,336,0.7113095238095238
Pain_Crown,1,0.15,0.57,0.24,30,0.5666666666666667
Pain_Neck_Muscles,0,0.5,0.54,0.52,171,0.5380116959064327
Pain_Neck_Muscles,1,0.57,0.53,0.55,195,0.5333333333333333
Pain_Cervical_Spine,0,0.55,0.64,0.59,203,0.6354679802955665
Pain_Cervical_Spine,1,0.44,0.36,0.4,163,0.3619631901840491
Pain_Thoracic_Spine,0,0.71,1.0,0.83,259,0.9961389961389961
Pain_Thoracic_Spine,1,0.75,0.03,0.05,107,0.028037383177570093
Pain_Shoulder_Arm_Left,0,0.71,0.15,0.24,241,0.14522821576763487
Pain_Shoulder_Arm_Left,1,0.35,0.89,0.5,125,0.888
Pain_Shoulder_Arm_Right,0,0.7,0.56,0.62,238,0.5588235294117647
Pain_Shoulder_Arm_Right,1,0.4,0.55,0.47,128,0.5546875
Pain_Lumbar_Spine,0,0.31,0.08,0.13,119,0.08403361344537816
Pain_Lumbar_Spine,1,0.67,0.91,0.77,247,0.9109311740890689
Pain_Hip_Left,0,0.7,0.64,0.67,247,0.6437246963562753
Pain_Hip_Left,1,0.37,0.44,0.4,119,0.4369747899159664
Pain_Hip_Right,0,0.65,0.76,0.7,237,0.7552742616033755
Pain_Hip_Right,1,0.37,0.26,0.31,129,0.26356589147286824
Pain_Buttock_Thigh_Left,0,0.65,0.98,0.78,236,0.9788135593220338
Pain_Buttock_Thigh_Left,1,0.5,0.04,0.07,130,0.038461538461538464
Pain_Buttock_Thigh_Right,0,0.74,0.1,0.17,235,0.09787234042553192
Pain_Buttock_Thigh_Right,1,0.37,0.94,0.53,131,0.9389312977099237
Pain_Knee_Left,0,0.58,0.5,0.54,206,0.5
Pain_Knee_Left,1,0.45,0.53,0.49,160,0.53125
Pain_Knee_Right,0,0.6,0.91,0.72,213,0.9061032863849765
Pain_Knee_Right,1,0.52,0.14,0.23,153,0.1437908496732026
Pain_Lower_Leg_Left,0,0.84,0.17,0.28,277,0.16967509025270758
Pain_Lower_Leg_Left,1,0.26,0.9,0.4,89,0.898876404494382
Pain_Lower_Leg_Right,0,0.8,0.72,0.76,284,0.7183098591549296
Pain_Lower_Leg_Right,1,0.27,0.37,0.31,82,0.36585365853658536
Pain_Ankle_Left,0,0.8,0.69,0.74,278,0.6870503597122302
Pain_Ankle_Left,1,0.31,0.45,0.37,88,0.45454545454545453
Pain_Ankle_Right,0,0.77,1.0,0.87,282,1.0
Pain_Ankle_Right,1,0.0,0.0,0.0,84,0.0
Restless_Legs_Syndrome,0,0.78,0.96,0.86,284,0.9612676056338029
Restless_Legs_Syndrome,1,0.31,0.06,0.1,82,0.06097560975609756
Dizziness_Fall_Tendency,0,0.81,0.97,0.89,298,0.9731543624161074
Dizziness_Fall_Tendency,1,0.2,0.03,0.05,68,0.029411764705882353
Body_Vibration,0,0.9,0.39,0.55,332,0.39457831325301207
Body_Vibration,1,0.09,0.59,0.16,34,0.5882352941176471
Restless_Sleep,0,0.68,0.35,0.46,196,0.3469387755102041
Restless_Sleep,1,0.52,0.81,0.63,170,0.8117647058823529
Lack_Of_Drive,0,0.71,0.97,0.82,261,0.9655172413793104
Lack_Of_Drive,1,0.31,0.04,0.07,105,0.0380952380952381
Concentration_Difficulty,0,0.76,0.94,0.84,273,0.9377289377289377
Concentration_Difficulty,1,0.39,0.12,0.18,93,0.11827956989247312
Pain_Wrist_Left,0,0.84,0.81,0.82,301,0.8106312292358804
Pain_Wrist_Left,1,0.23,0.26,0.24,65,0.26153846153846155
Pain_Wrist_Right,0,0.75,1.0,0.86,276,1.0
Pain_Wrist_Right,1,0.0,0.0,0.0,90,0.0
Pain_Elbow_Left,0,0.88,0.71,0.79,321,0.7102803738317757
Pain_Elbow_Left,1,0.14,0.33,0.2,45,0.3333333333333333
Pain_Elbow_Right,0,0.86,0.83,0.84,313,0.8306709265175719
Pain_Elbow_Right,1,0.15,0.17,0.16,53,0.16981132075471697
Pain_Finger_Left,0,0.77,0.33,0.46,270,0.3296296296296296
Pain_Finger_Left,1,0.28,0.73,0.4,96,0.7291666666666666
Pain_Finger_Right,0,0.72,1.0,0.84,263,1.0
Pain_Finger_Right,1,0.0,0.0,0.0,103,0.0
Pain_Upper_Arm_Left,0,0.85,0.85,0.85,311,0.8520900321543409
Pain_Upper_Arm_Left,1,0.18,0.18,0.18,55,0.18181818181818182
Pain_Upper_Arm_Right,0,0.79,1.0,0.88,289,0.9965397923875432
Pain_Upper_Arm_Right,1,0.0,0.0,0.0,77,0.0
Pain_Thumb_Left,0,0.77,0.95,0.85,279,0.946236559139785
Pain_Thumb_Left,1,0.35,0.09,0.15,87,0.09195402298850575
Pain_Thumb_Right,0,0.78,0.55,0.65,274,0.5547445255474452
Pain_Thumb_Right,1,0.29,0.53,0.37,92,0.532608695652174
Pain_Forearm_Left,0,0.89,0.57,0.7,335,0.573134328358209
Pain_Forearm_Left,1,0.05,0.23,0.08,31,0.22580645161290322
Pain_Forearm_Right,0,0.9,0.98,0.94,328,0.9817073170731707
Pain_Forearm_Right,1,0.25,0.05,0.09,38,0.05263157894736842
