Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Forefoot_Left,0,0.6,0.57,0.58,217,0.5668202764976958
Pain_Forefoot_Left,1,0.42,0.45,0.43,149,0.44966442953020136
Pain_Forefoot_Right,0,0.67,0.64,0.66,231,0.6406926406926406
Pain_Forefoot_Right,1,0.43,0.47,0.45,135,0.4666666666666667
Pain_Midfoot_Left,0,0.67,0.66,0.66,227,0.6563876651982379
Pain_Midfoot_Left,1,0.45,0.47,0.46,139,0.4676258992805755
Pain_Midfoot_Right,0,0.7,0.65,0.67,243,0.6502057613168725
Pain_Midfoot_Right,1,0.39,0.45,0.42,123,0.44715447154471544
Pain_Heel_Left,0,0.77,0.72,0.74,285,0.7157894736842105
Pain_Heel_Left,1,0.2,0.25,0.22,81,0.24691358024691357
Pain_Heel_Right,0,0.81,0.76,0.79,295,0.7627118644067796
Pain_Heel_Right,1,0.21,0.27,0.24,71,0.2676056338028169
Pain_Forehead,0,0.95,0.91,0.93,345,0.9130434782608695
Pain_Forehead,1,0.09,0.14,0.11,21,0.14285714285714285
Pain_Crown,0,0.95,0.93,0.94,347,0.9250720461095101
Pain_Crown,1,0.07,0.11,0.09,19,0.10526315789473684
Pain_Neck_Muscles,0,0.55,0.39,0.45,179,0.3854748603351955
Pain_Neck_Muscles,1,0.54,0.7,0.61,187,0.6951871657754011
Pain_Cervical_Spine,0,0.56,0.46,0.51,204,0.46078431372549017
Pain_Cervical_Spine,1,0.44,0.54,0.49,162,0.5432098765432098
Pain_Thoracic_Spine,0,0.73,0.69,0.71,256,0.69140625
Pain_Thoracic_Spine,1,0.36,0.41,0.38,110,0.4090909090909091
Pain_Shoulder_Arm_Left,0,0.68,0.56,0.62,252,0.5634920634920635
Pain_Shoulder_Arm_Left,1,0.3,0.41,0.35,114,0.41228070175438597
Pain_Shoulder_Arm_Right,0,0.69,0.58,0.63,235,0.5787234042553191
Pain_Shoulder_Arm_Right,1,0.41,0.53,0.47,131,0.5343511450381679
Pain_Lumbar_Spine,0,0.45,0.3,0.36,131,0.29770992366412213
Pain_Lumbar_Spine,1,0.67,0.8,0.73,235,0.8
Pain_Hip_Left,0,0.68,0.6,0.64,240,0.6
Pain_Hip_Left,1,0.38,0.47,0.42,126,0.46825396825396826
Pain_Hip_Right,0,0.61,0.55,0.58,226,0.5486725663716814
Pain_Hip_Right,1,0.37,0.44,0.4,140,0.4357142857142857
Pain_Buttock_Thigh_Left,0,0.67,0.57,0.61,246,0.5691056910569106
Pain_Buttock_Thigh_Left,1,0.32,0.42,0.36,120,0.4166666666666667
Pain_Buttock_Thigh_Right,0,0.68,0.64,0.66,236,0.6398305084745762
Pain_Buttock_Thigh_Right,1,0.41,0.46,0.44,130,0.46153846153846156
Pain_Knee_Left,0,0.59,0.54,0.56,215,0.5395348837209303
