Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Forefoot_Left,0,0.65,0.89,0.75,247,0.8866396761133604
Pain_Forefoot_Left,1,0.51,0.2,0.28,147,0.19727891156462585
Pain_Forefoot_Right,0,0.65,0.82,0.73,251,0.8167330677290837
Pain_Forefoot_Right,1,0.43,0.24,0.31,143,0.24475524475524477
Pain_Midfoot_Left,0,0.67,0.98,0.8,259,0.9806949806949807
Pain_Midfoot_Left,1,0.67,0.07,0.13,135,0.07407407407407407
Pain_Midfoot_Right,0,0.69,0.95,0.8,266,0.9511278195488722
Pain_Midfoot_Right,1,0.52,0.11,0.18,128,0.109375
Pain_Heel_Left,0,0.77,1.0,0.87,304,1.0
Pain_Heel_Left,1,0.0,0.0,0.0,90,0.0
Pain_Heel_Right,0,0.78,1.0,0.87,306,1.0
Pain_Heel_Right,1,0.0,0.0,0.0,88,0.0
Pain_Forehead,0,0.95,1.0,0.97,374,1.0
Pain_Forehead,1,0.0,0.0,0.0,20,0.0
Pain_Crown,0,0.94,1.0,0.97,369,1.0
Pain_Crown,1,0.0,0.0,0.0,25,0.0
Pain_Neck_Muscles,0,0.55,0.52,0.54,206,0.5194174757281553
Pain_Neck_Muscles,1,0.51,0.54,0.52,188,0.5372340425531915
Pain_Cervical_Spine,0,0.62,0.8,0.7,235,0.7957446808510639
Pain_Cervical_Spine,1,0.47,0.27,0.34,159,0.27044025157232704
Pain_Thoracic_Spine,0,0.74,0.97,0.84,289,0.9688581314878892
Pain_Thoracic_Spine,1,0.5,0.09,0.15,105,0.08571428571428572
Pain_Shoulder_Arm_Left,0,0.71,0.96,0.81,275,0.96
Pain_Shoulder_Arm_Left,1,0.45,0.08,0.13,119,0.07563025210084033
Pain_Shoulder_Arm_Right,0,0.69,0.91,0.79,270,0.9111111111111111
Pain_Shoulder_Arm_Right,1,0.37,0.11,0.17,124,0.11290322580645161
Pain_Lumbar_Spine,0,0.52,0.12,0.2,138,0.12318840579710146
Pain_Lumbar_Spine,1,0.66,0.94,0.78,256,0.9375
Pain_Hip_Left,0,0.64,0.93,0.76,253,0.9288537549407114
Pain_Hip_Left,1,0.33,0.06,0.11,141,0.06382978723404255
Pain_Hip_Right,0,0.67,0.93,0.78,261,0.9272030651340997
Pain_Hip_Right,1,0.42,0.11,0.17,133,0.10526315789473684
Pain_Buttock_Thigh_Left,0,0.68,0.96,0.79,268,0.9589552238805971
Pain_Buttock_Thigh_Left,1,0.27,0.03,0.06,126,0.031746031746031744
Pain_Buttock_Thigh_Right,0,0.66,0.93,0.77,258,0.9341085271317829
Pain_Buttock_Thigh_Right,1,0.43,0.1,0.16,136,0.09558823529411764
Pain_Knee_Left,0,0.6,0.76,0.67,230,0.7565217391304347
Pain_Knee_Left,1,0.47,0.3,0.37,164,0.3048780487804878
Pain_Knee_Right,0,0.54,0.82,0.65,205,0.824390243902439
Pain_Knee_Right,1,0.56,0.24,0.33,189,0.23809523809523808
Pain_Lower_Leg_Left,0,0.76,1.0,0.86,298,1.0
Pain_Lower_Leg_Left,1,0.0,0.0,0.0,96,0.0
Pain_Lower_Leg_Right,0,0.75,1.0,0.86,295,1.0
Pain_Lower_Leg_Right,1,0.0,0.0,0.0,99,0.0
Pain_Ankle_Left,0,0.77,1.0,0.87,299,1.0
Pain_Ankle_Left,1,1.0,0.07,0.14,95,0.07368421052631578
Pain_Ankle_Right,0,0.76,1.0,0.86,298,1.0
Pain_Ankle_Right,1,1.0,0.02,0.04,96,0.020833333333333332
Restless_Legs_Syndrome,0,0.79,1.0,0.89,313,1.0
Restless_Legs_Syndrome,1,0.0,0.0,0.0,81,0.0
Dizziness_Fall_Tendency,0,0.85,1.0,0.92,334,1.0
Dizziness_Fall_Tendency,1,0.0,0.0,0.0,60,0.0
Body_Vibration,0,0.93,1.0,0.96,365,1.0
Body_Vibration,1,0.0,0.0,0.0,29,0.0
Restless_Sleep,0,0.55,0.73,0.63,205,0.7317073170731707
Restless_Sleep,1,0.55,0.36,0.44,189,0.35978835978835977
Lack_Of_Drive,0,0.73,0.98,0.84,289,0.9826989619377162
Lack_Of_Drive,1,0.17,0.01,0.02,105,0.009523809523809525
Concentration_Difficulty,0,0.74,1.0,0.85,292,1.0
Concentration_Difficulty,1,0.0,0.0,0.0,102,0.0
Pain_Wrist_Left,0,0.86,1.0,0.92,339,1.0
Pain_Wrist_Left,1,0.0,0.0,0.0,55,0.0
Pain_Wrist_Right,0,0.79,1.0,0.88,312,0.9967948717948718
Pain_Wrist_Right,1,0.5,0.01,0.02,82,0.012195121951219513
Pain_Elbow_Left,0,0.9,1.0,0.95,356,1.0
Pain_Elbow_Left,1,0.0,0.0,0.0,38,0.0
Pain_Elbow_Right,0,0.87,1.0,0.93,344,1.0
Pain_Elbow_Right,1,0.0,0.0,0.0,50,0.0
Pain_Finger_Left,0,0.77,1.0,0.87,301,1.0
Pain_Finger_Left,1,1.0,0.01,0.02,93,0.010752688172043012
Pain_Finger_Right,0,0.76,0.97,0.85,299,0.9732441471571907
Pain_Finger_Right,1,0.27,0.03,0.06,95,0.031578947368421054
Pain_Upper_Arm_Left,0,0.86,1.0,0.92,339,1.0
Pain_Upper_Arm_Left,1,0.0,0.0,0.0,55,0.0
Pain_Upper_Arm_Right,0,0.83,1.0,0.91,327,1.0
Pain_Upper_Arm_Right,1,0.0,0.0,0.0,67,0.0
Pain_Thumb_Left,0,0.86,1.0,0.92,337,1.0
Pain_Thumb_Left,1,0.0,0.0,0.0,57,0.0
Pain_Thumb_Right,0,0.82,0.99,0.9,323,0.9938080495356038
Pain_Thumb_Right,1,0.0,0.0,0.0,71,0.0
Pain_Forearm_Left,0,0.92,1.0,0.96,362,1.0
Pain_Forearm_Left,1,0.0,0.0,0.0,32,0.0
Pain_Forearm_Right,0,0.9,1.0,0.95,356,1.0
Pain_Forearm_Right,1,0.0,0.0,0.0,38,0.0
